I_Code,I_Name,Min_Reorder,I_P_Price,I_S_Price_W,I_S_Price_N,I_S_Price_P,I_Disc
254097010,"فست بناتى م8/6/4 م 888 موضة",0,265,275,275,295,0
254097011,"فست اولادى  م4 م 900 موضة",0,225,235,235,255,0
254097012,"فست اولادى م4 م 1500 موضة",0,240,250,250,270,0
254097013,"بدلة اولادى م4 م 1700 موضة",0,265,275,275,295,0
254097014,"فستان بناتى م6/4/2 م 850 موضة",0,195,205,205,225,0
254097015,"فستان م4 م 300 موضة",0,185,195,195,215,0
254097016,"فست بانتى م4 م 1000 موضة",0,175,185,185,205,0
254097017,"فستان م4 م 2400 موضة",0,275,285,285,305,0
254097018,"فست بناتى م4 م 1111 موضة",0,210,220,220,240,0
254097019,"فست بناتى م6/4/2 م 450 موضة",0,225,235,235,255,0
254097020,"فست بناتى م6/4/2 م 555 موضة",0,230,240,240,260,0
254097021,"فست بناتى م 1900 موضة",0,285,295,295,315,0
252132001,"بدلة اولادى حبل المهدى",0,245,265,265,285,0
252132002,"بدلة اولادى جيب المهدى",0,245,265,265,285,0
252132003,"بدلة بناتى وردة المهدى",0,270,289,289,309,0
252132004,"بدلة بناتى حلق المهدى ",0,270,289,289,309,0
252132005,"بدلة جبردين جوبير المهدى",0,280,299,299,319,0
252132006,"بدلة بناتى فرو المهدى",0,250,269,269,289,0
252132007,"فست بناتى جينز*جبردين المهدى",0,260,279,279,299,0
252132008,"تونز اولادى ادوار المهدى",0,210,225,225,245,0
252132009,"تونز اولادى جيب نفخ المهدى ",0,210,225,225,245,0
254031001,"م8 م 102 الشجيع",0,210,230,230,250,0
254031002,"م10 م 102 الشجيع",0,220,240,240,260,0
254031003,"م12 م 102 الشجيع",0,230,250,250,270,0
254031004,"م 8 م 103 الشجيع",0,210,230,230,250,0
254031005,"م10 م 103 الشجيع",0,220,240,240,260,0
254031006,"م12 م 103 الشجيع",0,220,240,240,260,0
254031007,"م 8 م 104 الشجيع",0,210,230,230,250,0
254031008,"م10 م 104 الشجيع",0,220,240,240,260,0
254031009,"م12 م 104 الشجيع",0,230,250,250,270,0
254031010,"م8 م 105 الشجيع",0,210,230,230,250,0
254031011,"م10 م 105 الشجيع",0,220,240,240,260,0
254031012,"م12 م 105 الشجيع",0,230,250,250,270,0
254031013,"م8 م 106 الشجيع",0,210,230,230,250,0
254031014,"م10 م 106 الشجيع",0,220,240,240,260,0
254031015,"م12 م 106 الشجيع",0,230,250,250,270,0
254031016,"م8 م 107 الشجيع",0,210,230,230,250,0
254031017,"م10 م 107 الشجيع",0,220,240,240,260,0
254031018,"م 12 م 107 الشجيع",0,230,250,250,270,0
254031019,"م8 م 108 الشجيع",0,210,230,230,250,0
254031020,"م10 م 108 الشجيع",0,220,240,240,260,0
254031021,"م 12 م 108 الشجيع",0,230,250,250,270,0
254031022,"م8 م 109 الشجيع",0,210,230,230,250,0
254031023,"م10 م 109 الشجيع",0,220,240,240,260,0
254031024,"م12 م 109 الشجيع",0,230,250,250,270,0
254031025,"م8 م 111 الشجيع",0,210,230,230,250,0
254031026,"م10 م 111 الشجيع",0,220,240,240,260,0
254031027,"م12 م 111 الشجيع",0,230,250,250,270,0
254031028,"م8 م 112 الشجيع",0,210,230,230,250,0
